 0.9000 0.1000 0.1000 0.1000 0.1000 0.1048 0.1000 0.1006 0.6809 0.1000 0.1084 0.1104 0.1531 0.1164
 0.9000 0.1000 0.1000 0.1000 0.1000 0.1048 0.1000 0.1006 0.6809 0.1800 0.1012 0.1023 0.1254 0.1000
 0.9000 0.1000 0.1000 0.1000 0.1000 0.1048 0.1000 0.1006 0.6809 0.3400 0.1000 0.1000 0.1133 0.1006
 0.9000 0.1000 0.1000 0.1000 0.1000 0.1048 0.1000 0.1006 0.6809 0.5800 0.1000 0.1000 0.1262 0.1034
 0.8680 0.1000 0.2600 0.1000 0.1000 0.1627 0.1113 0.1100 0.6350 0.1000 0.1096 0.1115 0.1582 0.1232
 0.8200 0.1000 0.5000 0.1000 0.1000 0.2880 0.1113 0.1195 0.5229 0.1000 0.1096 0.1127 0.2148 0.1930
 0.7400 0.1000 0.9000 0.1000 0.1000 0.5289 0.1000 0.1595 0.4618 0.1000 0.1096 0.1125 0.4010 0.3784
 0.7400 0.1000 0.9000 0.1000 0.1000 0.5289 0.1000 0.1595 0.4618 0.3400 0.1006 0.1097 0.3050 0.3200
 0.7400 0.1000 0.9000 0.1000 0.1000 0.5289 0.1000 0.1595 0.4618 0.5800 0.1006 0.1110 0.2527 0.2593
 0.7400 0.1000 0.9000 0.1000 0.1000 0.5289 0.1000 0.1595 0.4618 0.9000 0.1042 0.1079 0.1730 0.1867
 0.8200 0.1000 0.1000 0.3000 0.1000 0.3024 0.1113 0.1124 0.6045 0.1000 0.2319 0.1428 0.2616 0.2298
 0.8200 0.1000 0.1000 0.3000 0.1000 0.3024 0.1113 0.1124 0.6045 0.3400 0.1000 0.1000 0.2148 0.2066
 0.7400 0.1000 0.1000 0.5000 0.1000 0.5386 0.1113 0.1277 0.4618 0.1000 0.5107 0.2669 0.5256 0.5139
 0.7400 0.1000 0.1000 0.5000 0.1000 0.5386 0.1113 0.1277 0.4618 0.3400 0.1000 0.1000 0.3487 0.3591
 0.6600 0.1000 0.1000 0.7000 0.1000 0.7313 0.1113 0.1448 0.4618 0.1000 0.6690 0.3828 0.7048 0.6709
